Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,Customer_Job,Income,Cust_Satisfaction_Score,Revenue,Age_Group
708082083,Blue,200,0,87,2023-01-01,Week-1,Q1,2023,3544.0,1661,15149,111,0.469,Chip ,Travel,4393.21,0,24,F,1,Uneducated,Single,FL,91750,no,yes,no,unknown,Businessman,202326,3,19742.21,<30
708083283,Blue,445,1,108,2023-01-01,Week-1,Q1,2023,3421.0,2517,992,21,0.736,Swipe ,Entertainment,69.44,0,62,F,0,Unknown,Married,NJ,91750,no,no,no,cellular,Selfemployeed,5225,2,1506.44,60+
708084558,Blue,140,0,106,2023-01-01,Week-1,Q1,2023,8258.0,1771,1447,23,0.214,Chip ,Bills,202.58,0,32,F,1,Unknown,Married,NJ,91750,yes,no,no,unknown,Selfemployeed,14235,2,1789.58,30-40
708085458,Blue,250,1,150,2023-01-01,Week-1,Q1,2023,1438.3,0,3940,82,0.0,Online ,Grocery,236.4,0,38,M,2,Uneducated,Single,NY,91750,no,no,no,cellular,Blue-collar,45683,1,4426.4,30-40
708086958,Blue,320,1,106,2023-01-01,Week-1,Q1,2023,3128.0,749,4369,59,0.239,Swipe ,Fuel,1004.87,1,48,M,4,Graduate,Single,TX,91750,yes,yes,no,cellular,Businessman,59279,1,5693.87,40-50
708095133,Blue,100,0,94,2023-01-01,Week-1,Q1,2023,33304.0,1833,1448,29,0.055,Swipe ,Bills,275.12,0,33,F,1,High School,Single,NY,91750,no,yes,no,cellular,Selfemployeed,14254,3,1823.12,30-40
708098133,Blue,225,1,75,2023-01-01,Week-1,Q1,2023,2834.0,1418,1598,39,0.5,Swipe ,Bills,159.8,1,34,F,3,Graduate,Single,CA,91750,yes,no,no,telephone,Selfemployeed,14975,2,1982.8,30-40
708099183,Blue,400,1,75,2023-01-01,Week-1,Q1,2023,5723.0,1873,2732,63,0.327,Swipe ,Grocery,409.8,0,34,F,2,Uneducated,Single,CA,91750,no,no,no,cellular,Retirees,31982,2,3541.8,30-40
708100533,Blue,200,1,64,2023-01-01,Week-1,Q1,2023,2679.0,2277,4943,85,0.85,Chip ,Food,988.6,0,48,M,2,High School,Married,NJ,91750,yes,no,no,telephone,Businessman,86668,2,6131.6,40-50
708103608,Platinum,95,1,80,2023-01-01,Week-1,Q1,2023,11898.0,2517,15798,128,0.212,Chip ,Grocery,3791.52,0,53,F,1,Graduate,Married,NJ,91750,yes,yes,no,cellular,Businessman,223196,1,19684.52,50-60
708104658,Blue,455,1,118,2023-01-01,Week-1,Q1,2023,1438.3,890,2928,48,0.619,Swipe ,Fuel,732.0,0,31,F,0,Post-Graduate,Single,CA,91750,no,yes,no,telephone,Businessman,33625,2,4115.0,30-40
708108333,Blue,485,0,86,2023-01-01,Week-1,Q1,2023,5590.0,0,1507,32,0.0,Swipe ,Entertainment,150.7,0,34,F,4,Graduate,Single,NY,91750,no,no,no,cellular,Selfemployeed,14975,3,2142.7,30-40
708112008,Blue,440,1,86,2023-01-01,Week-1,Q1,2023,23510.0,1049,1661,35,0.045,Swipe ,Grocery,465.08,0,51,F,2,Graduate,Single,NJ,91750,yes,yes,no,cellular,Selfemployeed,14975,2,2566.08,50-60
708113208,Blue,300,1,149,2023-01-01,Week-1,Q1,2023,1688.0,0,4375,69,0.0,Chip ,Fuel,525.0,0,36,M,1,High School,Single,NJ,91750,yes,no,no,telephone,White-collar,59416,3,5200.0,30-40
708117933,Blue,360,0,70,2023-01-01,Week-1,Q1,2023,1880.0,0,2469,34,0.0,Chip ,Bills,419.73,1,49,F,4,Graduate,Married,CA,91750,no,yes,no,unknown,Retirees,28122,1,3248.73,40-50
708119658,Blue,340,0,44,2023-01-01,Week-1,Q1,2023,12836.0,1034,2519,53,0.081,Swipe ,Bills,554.18,0,53,F,2,Graduate,Single,FL,91750,yes,no,no,cellular,Govt,29021,1,3413.18,50-60
708121908,Blue,405,0,71,2023-01-01,Week-1,Q1,2023,22917.0,0,2045,45,0.0,Swipe ,Grocery,265.85,0,49,F,1,Graduate,Married,TX,91750,no,no,no,unknown,Selfemployeed,20632,3,2715.85,40-50
708123033,Silver,355,0,78,2023-01-01,Week-1,Q1,2023,11463.0,0,14511,105,0.0,Swipe ,Fuel,3047.31,0,47,F,5,Graduate,Married,FL,91750,no,no,no,cellular,Businessman,172101,2,17913.31,40-50
708125733,Blue,220,0,69,2023-01-01,Week-1,Q1,2023,1438.3,0,4311,77,0.0,Swipe ,Entertainment,1207.08,0,43,F,4,Graduate,Single,FL,91750,no,no,no,cellular,Retirees,57168,2,5738.08,40-50
708128733,Blue,125,1,105,2023-01-01,Week-1,Q1,2023,1814.0,0,5014,99,0.0,Swipe ,Entertainment,1303.64,0,47,M,3,Graduate,Married,NY,91750,no,no,no,cellular,Govt,89954,2,6442.64,40-50
708129933,Blue,350,1,77,2023-01-01,Week-1,Q1,2023,2072.0,1544,4210,64,0.745,Chip ,Entertainment,884.1,0,34,F,3,Uneducated,Single,TX,91750,yes,yes,yes,telephone,Blue-collar,53762,1,5444.1,30-40
708132783,Blue,250,1,92,2023-01-01,Week-1,Q1,2023,16411.0,1179,3929,71,0.072,Swipe ,Food,785.8,1,37,F,5,Unknown,Married,NJ,91750,yes,yes,no,cellular,Selfemployeed,45476,3,4964.8,30-40
708134283,Blue,125,1,101,2023-01-01,Week-1,Q1,2023,3131.0,629,1483,31,0.201,Swipe ,Food,311.43,0,63,M,0,Graduate,Single,TX,91750,yes,yes,yes,cellular,Selfemployeed,14975,2,1919.43,60+
708136908,Blue,110,1,73,2023-01-01,Week-1,Q1,2023,2616.0,801,4655,68,0.306,Swipe ,Entertainment,605.15,0,55,M,2,Doctorate,Married,MO,91750,yes,yes,no,cellular,Retirees,72878,2,5370.15,50-60
708139833,Blue,460,0,111,2023-01-01,Week-1,Q1,2023,6391.0,0,2323,44,0.0,Swipe ,Grocery,441.37,0,38,F,1,Unknown,Single,NY,91750,no,no,no,cellular,Businessman,25667,3,3224.37,30-40
